antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'P0005'}),frozenset({'P0001'}),0.6974008207934337,0.6984952120383037,0.4897400820793434,0.7022361710474696,1.0053557403754412,1.0,0.0026089478835469304,1.0125635105591093,0.01760483699879809,0.5404589371980677,0.012407627203721858,0.7016860447873463
frozenset({'P0001'}),frozenset({'P0005'}),0.6984952120383037,0.6974008207934337,0.4897400820793434,0.7011359185272229,1.0053557403754412,1.0,0.0026089478835469304,1.0124976468078164,0.017668738403512418,0.5404589371980677,0.012343383559674131,0.7016860447873463
frozenset({'P0012'}),frozenset({'P0001'}),0.6853625170998632,0.6984952120383037,0.48673050615595076,0.7101796407185629,1.0167280011070692,1.0,0.008008069451176325,1.0403161072232083,0.052291223696752355,0.5425434583714548,0.038753708553854266,0.7035034513816081
frozenset({'P0001'}),frozenset({'P0012'}),0.6984952120383037,0.6853625170998632,0.48673050615595076,0.6968272620446534,1.0167280011070692,1.0,0.008008069451176325,1.0378158835194438,0.05456888135323521,0.5425434583714548,0.03643795023757238,0.7035034513816081
frozenset({'P0005'}),frozenset({'P0017'}),0.6974008207934337,0.6911080711354309,0.4845417236662107,0.6947822675559042,1.005316384765174,1.0,0.0025623875993943668,1.0120379520254323,0.017476155419389613,0.5360169491525423,0.011894763433861701,0.697945369724112
frozenset({'P0017'}),frozenset({'P0005'}),0.6911080711354309,0.6974008207934337,0.4845417236662107,0.7011084718923198,1.005316384765174,1.0,0.0025623875993943668,1.0124046710937569,0.01712013099543393,0.5360169491525423,0.012252680620640959,0.697945369724112
frozenset({'P0001'}),frozenset({'P0015'}),0.6984952120383037,0.6922024623803009,0.48399452804377563,0.6929103016059538,1.001022589869471,1.0,0.0004944223100113998,1.0023049917641478,0.003388155971105539,0.5337960168980085,0.0022996909953433343,0.6960598938859808
frozenset({'P0015'}),frozenset({'P0001'}),0.6922024623803009,0.6984952120383037,0.48399452804377563,0.6992094861660079,1.0010225898694707,1.0,0.0004944223100113998,1.0023746564298182,0.003318887004585159,0.5337960168980085,0.002369030795606927,0.6960598938859808
frozenset({'P0004'}),frozenset({'P0010'}),0.6924760601915184,0.6870041039671683,0.4820793433652531,0.6961675227182933,1.0133382300021354,1.0,0.006345448114664087,1.0301594445501918,0.042802077063834966,0.5371951219512195,0.029276482111330406,0.6989399939358094
frozenset({'P0010'}),frozenset({'P0004'}),0.6870041039671683,0.6924760601915184,0.4820793433652531,0.7017124651533254,1.0133382300021354,1.0,0.006345448114664087,1.0309647701723597,0.04205378900327843,0.5371951219512195,0.03003475101014642,0.6989399939358094
frozenset({'P0007'}),frozenset({'P0001'}),0.6905608755129959,0.6984952120383037,0.48180574555403555,0.69770206022187,0.998864484963155,1.0,-0.0005477196127711692,0.9973762579493072,-0.0036603155164963664,0.5310615199034981,-0.0026306441824547533,0.693739396738432
frozenset({'P0001'}),frozenset({'P0007'}),0.6984952120383037,0.6905608755129959,0.48180574555403555,0.6897767332549941,0.998864484963155,1.0,-0.0005477196127711692,0.9974723293122744,-0.0037562777889863937,0.5310615199034981,-0.002534075997344552,0.693739396738432
frozenset({'P0017'}),frozenset({'P0001'}),0.6911080711354309,0.6984952120383037,0.48153214774281805,0.6967537608867775,0.9975068531301104,1.0,-0.001203530946307818,0.9942573033828264,-0.00802648670722334,0.5302802048809883,-0.005775865661368425,0.6930693990489509
frozenset({'P0001'}),frozenset({'P0017'}),0.6984952120383037,0.6911080711354309,0.48153214774281805,0.6893850372111242,0.9975068531301104,1.0,-0.001203530946307818,0.9944528302537767,-0.008221526100967477,0.5302802048809883,-0.005578112483030194,0.6930693990489509
frozenset({'P0004'}),frozenset({'P0001'}),0.6924760601915184,0.6984952120383037,0.48098495212038306,0.6945871197155276,0.9944049833765192,1.0,-0.0027062603745407476,0.9872039046973528,-0.01796739300597085,0.5285628382441371,-0.012961957749316418,0.6915943824194559
