antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'P0003', 'P0018', 'P0012', 'P0011', 'P0009'})","frozenset({'P0020', 'P0001', 'P0016'})",0.14281805745554035,0.320656634746922,0.059097127222982215,0.41379310344827586,1.2904554548664235,1.0,0.013301569538196091,1.1588798583728976,0.26258112565166514,0.14614343707713126,0.13709778216006777,0.2990467223726021
"frozenset({'P0003', 'P0018', 'P0006', 'P0012', 'P0013'})","frozenset({'P0005', 'P0001', 'P0015'})",0.146374829001368,0.3389876880984952,0.0640218878248974,0.43738317757009343,1.2902627231789277,1.0,0.01440262294591109,1.1748889929146347,0.26353961209730425,0.15194805194805192,0.1488557591136968,0.3131225815211242
"frozenset({'P0003', 'P0002', 'P0018', 'P0014', 'P0020'})","frozenset({'P0019', 'P0001', 'P0015'})",0.13461012311901505,0.33433652530779756,0.058002735978112174,0.43089430894308944,1.2888041728207789,1.0,0.012997655143245856,1.1696658198162986,0.25894332464402675,0.14114513981358187,0.1450549523990924,0.3021901986613974
"frozenset({'P0003', 'P0018', 'P0006', 'P0012', 'P0014'})","frozenset({'P0005', 'P0001', 'P0016'})",0.14719562243502052,0.32585499316005473,0.06155950752393981,0.41821561338289964,1.2834408622287978,1.0,0.013595078982186197,1.1587540373159442,0.25896267778847176,0.14960106382978725,0.13700408559841645,0.30356624497860346
"frozenset({'P0001', 'P0015', 'P0006', 'P0011', 'P0019'})","frozenset({'P0005', 'P0020', 'P0010'})",0.15567715458276335,0.319015047879617,0.06347469220246238,0.40773286467486813,1.2780991598513232,1.0,0.013811337279479592,1.1497935838471747,0.25770722059579393,0.1543579507651364,0.13027867432167253,0.30335185257757125
"frozenset({'P0008', 'P0001', 'P0006', 'P0011', 'P0019'})","frozenset({'P0005', 'P0020', 'P0010'})",0.15102599179206566,0.319015047879617,0.06155950752393981,0.4076086956521739,1.2777099336266684,1.0,0.01337994352132734,1.149552579726151,0.2560146095176711,0.1507032819825854,0.13009633692595238,0.300288052800358
"frozenset({'P0003', 'P0018', 'P0012', 'P0011', 'P0020'})","frozenset({'P0009', 'P0001', 'P0016'})",0.146374829001368,0.31627906976744186,0.059097127222982215,0.4037383177570093,1.2765255634964265,1.0,0.012801832469061171,1.1466793030546039,0.25376899335232656,0.1464406779661017,0.12791658719562585,0.2952947644148368
"frozenset({'P0003', 'P0018', 'P0006', 'P0012', 'P0014'})","frozenset({'P0005', 'P0001', 'P0015'})",0.14719562243502052,0.3389876880984952,0.06347469220246238,0.4312267657992565,1.272101556897726,1.0,0.013577188454995781,1.1621719732124496,0.25081864746163973,0.15016181229773462,0.13954214776336196,0.309237273133688
"frozenset({'P0008', 'P0001', 'P0006', 'P0011', 'P0019'})","frozenset({'P0005', 'P0010', 'P0015'})",0.15102599179206566,0.3307797537619699,0.06347469220246238,0.42028985507246375,1.2706033253017825,1.0,0.013518351825825614,1.1544049247606019,0.2508584573327259,0.15173315892740355,0.13375282922725062,0.30609199122523106
"frozenset({'P0003', 'P0006', 'P0012', 'P0013', 'P0019'})","frozenset({'P0005', 'P0001', 'P0015'})",0.14610123119015048,0.3389876880984952,0.06292749658002736,0.4307116104868914,1.2705818695154059,1.0,0.01340097799053449,1.1611203110375115,0.2493960965688255,0.14906027219701878,0.13876280477218045,0.30817259297548766
"frozenset({'P0008', 'P0001', 'P0018', 'P0016', 'P0004'})","frozenset({'P0012', 'P0010', 'P0003'})",0.14582763337893298,0.31600547195622436,0.058549931600547195,0.4015009380863039,1.2705505876237582,1.0,0.012467601490378219,1.1428497913709479,0.2492935273937745,0.1451831750339213,0.12499437148217628,0.2933911616838446
"frozenset({'P0010', 'P0015', 'P0006', 'P0016', 'P0020'})","frozenset({'P0019', 'P0012', 'P0004'})",0.15239398084815323,0.319562243502052,0.06183310533515732,0.40574506283662476,1.269690243722486,1.0,0.013133742919112734,1.1450266778530425,0.2505955883613179,0.1507671781187458,0.12665790296255067,0.29961910676077813
"frozenset({'P0005', 'P0003', 'P0002', 'P0018', 'P0014', 'P0020'})","frozenset({'P0019', 'P0001'})",0.09220246238030096,0.4768809849521204,0.05581395348837209,0.6053412462908012,1.2693759352799072,1.0,0.011844352413443344,1.3254970531664318,0.23376502499734067,0.10874200426439233,0.24556603305066863,0.3611904166049531
"frozenset({'P0003', 'P0012', 'P0013', 'P0016', 'P0019'})","frozenset({'P0010', 'P0015', 'P0018'})",0.1439124487004104,0.319015047879617,0.058276333789329685,0.4049429657794677,1.2693538078250037,1.0,0.012366097076695337,1.144402826886011,0.24786901873583023,0.14401622718052737,0.12618181595980488,0.29380939026537706
"frozenset({'P0008', 'P0001', 'P0018', 'P0016', 'P0004'})","frozenset({'P0014', 'P0012', 'P0010'})",0.14582763337893298,0.31792065663474695,0.058823529411764705,0.4033771106941838,1.268798054722239,1.0,0.012461912452443193,1.1432336163952195,0.24802079764015306,0.14527027027027026,0.12528814263427265,0.29420146412506093
