Store,Product,avg_daily_demand,stockout_rate_%,overstock_rate_%,service_level_%,total_holding_cost_$,total_lost_sales_cost_$,total_operating_cost_$,total_units_ordered,n_orders_placed
S001,P0001,138.6,0.0,95.49,100.0,623305.05,0.0,623305.05,102599.12,102
S001,P0002,131.3,0.14,94.93,99.86,604718.87,590.77,605309.63,96916.9,99
S001,P0003,141.4,0.27,95.21,99.73,616822.11,1403.39,618225.5,103645.03,102
S001,P0004,140.8,0.41,95.07,99.59,621916.55,793.84,622710.39,105446.46,104
S002,P0001,145.0,0.82,94.8,99.18,630883.97,764.53,631648.5,108029.64,105
S002,P0002,129.7,0.41,95.08,99.59,626376.15,831.48,627207.63,96335.74,99
S002,P0003,133.8,0.14,95.75,99.86,618174.99,337.88,618512.87,98833.09,100
S002,P0004,139.0,0.41,94.8,99.59,606896.27,717.93,607614.2,102751.52,102
S003,P0001,129.4,0.0,95.21,100.0,582722.96,0.0,582722.96,96234.19,99
S003,P0002,142.9,0.27,96.16,99.73,621577.68,249.1,621826.77,106225.19,104
S003,P0003,126.6,0.14,96.85,99.86,583431.89,364.86,583796.75,95178.8,99
S003,P0004,132.5,0.0,97.54,100.0,598581.99,0.0,598581.99,97369.65,99
S004,P0001,138.5,0.14,95.62,99.86,599253.72,1282.57,600536.29,102575.42,102
S004,P0002,130.4,0.0,95.08,100.0,585286.12,0.0,585286.12,96608.76,99
S004,P0003,130.8,0.55,95.07,99.45,599629.74,3179.56,602809.3,96750.81,99
S004,P0004,131.3,0.14,94.38,99.86,592342.65,138.7,592481.35,97905.57,100
S005,P0001,131.1,0.0,96.03,100.0,605379.43,0.0,605379.43,96836.95,99
S005,P0002,134.2,0.14,95.07,99.86,619345.09,528.0,619873.09,98978.28,100
S005,P0003,146.7,0.0,95.08,100.0,633323.79,0.0,633323.79,109683.58,106
S005,P0004,136.6,0.55,95.21,99.45,613092.88,2356.32,615449.2,99868.2,100
